shapeID,year,max,mean,min,stdDev,sum
Kakanj,1994,3.368797540664673,0.7835266912103777,0.0013573765754699707,0.682697082626263,229.0724779730042
Kalesija,1994,,,,,0.0
Kalinovik,1994,,,,,0.0
Kiseljak,1994,6.942084789276123,1.658723497451934,2.426356077194214E-4,1.5589528976704417,114.21774859513138
Kladanj,1994,,,,,0.0
Ključ,1994,0.49597835540771484,0.16243178397417068,0.012306392192840576,0.1361486490949785,3.086203895509243
Kneževo,1994,,,,,0.0
Konjic,1994,,,,,0.0
Kostajnica,1994,0.4640522003173828,0.11899534114281422,0.048542384058237076,0.11956864318814553,0.8507000270719621
Kotor Varoš,1994,,,,,0.0
Kozarska Dubica,1994,10.257720947265625,1.8457696530559637,0.005389966070652008,2.404769636750107,117.55019280638764
Kreševo,1994,3.567345380783081,1.2016680063189644,0.016278348863124847,0.9321021201498613,45.66338424012065
Kupra na Uni,1994,,,,,0.0
Kupres,1994,,,,,0.0
Kupres (BiH),1994,,,,,0.0
Laktaši,1994,1.6730183362960815,0.2998743438123577,3.441944718360901E-4,0.3336413426933396,74.71575072203197
Livno,1994,20.158954620361328,1.8868784117351831,0.0034575536847114563,3.5999993449234817,218.87789576128125
Ljubinje,1994,,,,,0.0
Ljubuški,1994,11.882725715637207,1.5747696737448373,0.010678805410861969,2.2477284767922407,165.35081574320793
Lopare,1994,,,,,0.0
Lukavac,1994,7.763987064361572,0.7629159756950566,0.009362705051898956,1.147758902022251,143.0183230829443
Maglaj,1994,,,,,0.0
Milići,1994,,,,,0.0
Modriča,1994,0.519655704498291,0.1703464586068602,0.002520337700843811,0.14497391170002444,5.791779592633247
Mostar,1994,14.298004150390625,1.971984571400792,0.0013634860515594482,2.7943131602003692,370.7330994233489
Mrkonjić Grad,1994,0.06960051506757736,0.02732264654090007,4.6484172344207764E-5,0.0225717951799332,0.32787175849080086
Neum,1994,0.9368981719017029,0.2740753071249003,0.03289157152175903,0.2813324341874829,5.303088491585325
Nevesinje,1994,1.7556157112121582,0.5362533050775528,0.014981307089328766,0.49959934842423714,13.40633262693882
Novi Grad,1994,5.981775760650635,1.6025468851789746,0.11988164484500885,1.846380460197834,31.095694070061047
Novi Grad,1994,0.8904406428337097,0.20126932391824567,1.0384619235992432E-4,0.20253409980528297,45.62657179506678
Novi Travnik,1994,,,,,0.0
Novo Sarajevo,1994,2.414179563522339,1.1485400319723094,0.17710193991661072,0.6433159280335939,72.3174853072447
Odžak,1994,,,,,0.0
Olovo,1994,,,,,0.0
Orašje,1994,2.0707528591156006,0.7775277955406813,0.0030222758650779724,0.5864567424987942,73.51753991482889
Osmaci,1994,,,,,0.0
Oštra Luka,1994,,,,,0.0
Pale,1994,6.798725605010986,1.645481113758352,0.006858736276626587,1.6288816554449972,133.28397021442652
Pale-Prača,1994,,,,,0.0
Pelagićevo,1994,,,,,0.0
Petrovac,1994,,,,,0.0
Petrovo,1994,,,,,0.0
Posušje,1994,10.0301513671875,1.9256199702108214,0.0022987574338912964,2.274309407793554,172.75454140593317
Prijedor,1994,5.15151309967041,0.8713103636489277,0.002670668065547943,1.0856596900848199,148.99407218396664
Prnjavor,1994,12.441778182983398,1.562880758885984,3.4870952367782593E-4,2.492778460396601,126.59334146976471
Prozor-Rama,1994,5.549716472625732,1.0263120748264634,0.011279888451099396,1.4062135870576338,47.21035544201732
Ravno,1994,0.38942059874534607,0.04046537852958444,0.018961526453495026,0.12617616629275924,0.05919053408445097
Republika Srpska,1994,5.88616418838501,2.142147471698431,0.05366671085357666,1.7642480344293223,111.3916685283184
Ribnik,1994,,,,,0.0
Rogatica,1994,9.654059410095215,2.606117487526857,0.0015862509608268738,3.053454534043445,67.75905467569828
Rudo,1994,1.2888659238815308,0.23141832714614025,0.0482461042702198,0.42721212874703013,1.8595143228331033
Sanski Most,1994,4.264958381652832,1.0439572872387037,0.00752691924571991,1.1740099020511932,37.58246234059334
Sapna,1994,,,,,0.0
Sokolac,1994,19.620431900024414,2.990850940760639,4.621744155883789E-4,4.6236437839007465,161.5059508010745
Srbac,1994,0.08441490679979324,0.04298367240914592,0.014821372926235199,0.01882338446331798,1.1605591550469398
Srebrenica,1994,13.774397850036621,1.8257295493206094,1.1598318815231323E-4,3.323913099591703,57.249150887716056
Srebrenik,1994,1.6069064140319824,0.4262314461171627,0.004596777260303497,0.483039269879336,8.524628922343254
Stari Grad,1994,0.3515126407146454,0.13404012348510372,0.039388760924339294,0.10352657218277399,0.522493657820365
Stolac,1994,,,,,0.0
Teočak,1994,,,,,0.0
Teslić,1994,0.4229016900062561,0.1088007658042691,5.335882306098938E-4,0.1097438717017236,4.78723369538784
Tešanj,1994,,,,,0.0
Tomislavgrad,1994,8.291830062866211,1.6488958399822102,0.009279653429985046,2.0713078965658567,77.49810447916389
Travnik,1994,1.8589617013931274,0.18212028701505814,0.001501627266407013,0.4448544349349788,6.673458673994914
Trebinje,1994,11.49719524383545,2.7889933777559133,0.0131426602602005,2.8420525370886858,301.21128479763865
Trnovo (BiH),1994,,,,,0.0
