Code;Municipality Name;Total;Bosniak;%;Croat;%;Serb;%;Other;%
19500;Kanton: Bos.-Podrinjski;23.734;22.313;94,00%;24;0,10%;885;3,70%;512;2,20%
19600;Kanton: Herc.-Neret.;222.007;92.005;41,40%;118.297;53,30%;6.432;2,90%;5.273;2,40%
19700;Kanton: Posavski;43.453;8.252;19,00%;33.600;77,30%;831;1,90%;770;1,80%
19800;Entitet: FBiH;2.219.220;1.562.372;70,40%;497.883;22,40%;56.550;2,50%;102.415;4,60%
20010;Banja Luka;185.042;7.681;4,20%;5.104;2,80%;165.750;89,60%;6.507;3,50%
20028;Berkovići;2.114;159;7,50%;11;0,50%;1.942;91,90%;2;0,10%
20036;Bijeljina;107.715;13.090;12,20%;515;0,50%;91.784;85,20%;2.326;2,20%
20044;Bileća;10.807;26;0,20%;21;0,20%;10.646;98,50%;114;1,10%
20052;Bratunac;20.340;7.803;38,40%;33;0,20%;12.350;60,70%;154;0,80%
20079;Brod;16.619;1.509;9,10%;3.287;19,80%;11.477;69,10%;346;2,10%
20087;Višegrad;10.668;1.043;9,80%;33;0,30%;9.338;87,50%;254;2,40%
20095;Vlasenica;11.467;3.763;32,80%;31;0,30%;7.589;66,20%;84;0,70%
20109;Vukosavlje;4.667;2.180;46,70%;776;16,60%;1.516;32,50%;195;4,20%
20117;Gacko;8.990;369;4,10%;15;0,20%;8.556;95,20%;50;0,60%
20125;Gradiška;51.727;7.580;14,70%;826;1,60%;41.863;80,90%;1.458;2,80%
20133;Derventa;27.404;1.895;6,90%;2.573;9,40%;22.349;81,60%;587;2,10%
20141;Doboj;71.441;15.322;21,40%;1.845;2,60%;52.628;73,70%;1.646;2,30%
20150;Donji Žabar;3.809;5;0,10%;1.029;27,00%;2.759;72,40%;16;0,40%
20168;Zvornik;58.856;19.855;33,70%;106;0,20%;38.579;65,50%;316;0,50%
20176;Istočna Ilidža;14.763;648;4,40%;156;1,10%;13.755;93,20%;204;1,40%
20184;Istočni Drvar;79;0;0,00%;1;1,30%;78;98,70%;0;0,00%
20192;Istočni Mostar;257;78;30,40%;11;4,30%;166;64,60%;2;0,80%
